Ticker,Date,Open,High,Low,Close,Volume,Open Interest
AI-200301,20000215,4.50000,5.37500,4.50000,4.87500,1076300,4.87500
AI-200301,20000216,5.00000,5.50000,4.50000,5.43750,1584200,5.43750
AI-200301,20000217,6.00000,7.56250,6.00000,7.00000,2467400,7.00000
AI-200301,20000218,7.50000,9.37500,7.43750,7.75000,2621700,7.75000
AI-200301,20000222,9.37500,9.50000,8.50000,9.00000,1883600,9.00000
AI-200301,20000223,9.00000,9.37500,7.62500,8.50000,1658900,8.50000
AI-200301,20000224,9.00000,9.00000,7.37500,7.43750,1176400,7.43750
AI-200301,20000225,7.25000,7.25000,5.43750,7.25000,3265600,7.25000
AI-200301,20000228,7.62500,8.25000,7.50000,7.75000,1375700,7.75000
AI-200301,20000229,8.00000,8.56250,8.00000,8.50000,1004700,8.50000
AI-200301,20000301,8.93750,9.50000,8.62500,9.18750,1496600,9.18750
AI-200301,20000302,9.50000,9.75000,8.62500,9.06250,1098000,9.06250
AI-200301,20000303,9.25000,9.43750,8.75000,9.00000,1029300,9.00000
AI-200301,20000306,9.00000,9.06250,8.00000,8.43750,1141200,8.43750
AI-200301,20000307,8.87500,9.00000,8.50000,8.50000,938700,8.50000
AI-200301,20000308,8.75000,8.87500,7.50000,8.43750,828300,8.43750
AI-200301,20000309,8.43750,8.43750,7.50000,7.62500,1043200,7.62500
AI-200301,20000310,7.93750,8.18750,7.68750,7.87500,1068800,7.87500
AI-200301,20000313,8.12500,9.00000,8.00000,8.68750,1012700,8.68750
AI-200301,20000314,8.68750,8.75000,7.00000,7.12500,1367600,7.12500
AI-200301,20000315,7.12500,7.75000,7.06250,7.56250,901300,7.56250
AI-200301,20000316,7.93750,8.00000,7.12500,7.37500,676200,7.37500
AI-200301,20000317,7.37500,7.68750,7.37500,7.50000,352600,7.50000
AI-200301,20000320,7.75000,8.43750,7.62500,8.37500,908200,8.37500
AI-200301,20000321,7.93750,7.93750,7.56250,7.75000,383400,7.75000
AI-200301,20000322,7.93750,7.93750,7.50000,7.87500,371200,7.87500
AI-200301,20000323,7.87500,7.87500,7.62500,7.68750,362900,7.68750
AI-200301,20000324,7.68750,7.75000,7.25000,7.43750,357100,7.43750
AI-200301,20000327,7.25000,7.25000,6.18750,6.37500,1344400,6.37500
AI-200301,20000328,6.31250,6.37500,5.37500,6.12500,1440300,6.12500
AI-200301,20000329,6.25000,6.31250,5.68750,5.81250,473900,5.81250
AI-200301,20000330,5.81250,8.00000,5.31250,8.00000,2399100,8.00000
AI-200301,20000404,8.25000,8.25000,5.50000,6.25000,2195700,6.25000
AI-200301,20000405,6.25000,6.50000,5.50000,6.00000,535700,6.00000
AI-200301,20000406,6.25000,6.43750,5.37500,5.68750,756600,5.68750
AI-200301,20000407,5.75000,6.18750,5.37500,6.00000,576800,6.00000
AI-200301,20000410,6.12500,6.25000,5.87500,6.06250,467400,6.06250
AI-200301,20000411,6.18750,6.25000,6.06250,6.18750,455000,6.18750
AI-200301,20000412,6.31250,6.43750,5.75000,5.87500,428600,5.87500
AI-200301,20000413,5.75000,6.50000,5.06250,6.50000,716600,6.50000
AI-200301,20000414,5.56250,5.62500,3.75000,4.25000,1505400,4.25000
AI-200301,20000417,4.31250,5.25000,3.68750,3.93750,1174800,3.93750
AI-200301,20000418,3.50000,3.87500,3.37500,3.62500,1484800,3.62500
AI-200301,20000419,3.93750,4.81250,3.87500,4.81250,685800,4.81250
AI-200301,20000420,5.12500,5.87500,5.12500,5.75000,477300,5.75000
AI-200301,20000424,5.50000,5.75000,5.12500,5.25000,449600,5.25000
AI-200301,20000425,5.25000,5.50000,5.06250,5.25000,214500,5.25000
AI-200301,20000426,5.31250,5.43750,4.81250,4.93750,204700,4.93750
AI-200301,20000427,4.75000,4.75000,4.43750,4.68750,197000,4.68750
AI-200301,20000428,4.81250,5.18750,4.75000,5.00000,212600,5.00000
AI-200301,20000501,4.93750,5.50000,4.93750,5.50000,195900,5.50000
AI-200301,20000502,5.68750,5.68750,5.12500,5.12500,189600,5.12500
AI-200301,20000503,5.25000,5.25000,4.81250,4.93750,268600,4.93750
AI-200301,20000504,5.00000,5.12500,4.81250,5.00000,228400,5.00000
AI-200301,20000505,5.00000,5.00000,4.87500,5.00000,139800,5.00000
AI-200301,20000508,5.00000,5.25000,4.87500,5.25000,218200,5.25000
AI-200301,20000509,5.37500,6.00000,5.18750,6.00000,335300,6.00000
AI-200301,20000510,6.00000,6.18750,5.56250,6.00000,473600,6.00000
AI-200301,20000511,6.18750,6.25000,5.75000,6.00000,222100,6.00000
AI-200301,20000512,6.00000,6.06250,5.56250,5.93750,464300,5.93750
