Date,Open,High,Low,Close,Volume,Adj Close
2012-09-13,145.382670,145.382670,145.382670,145.382670,1,145.382670
2012-09-12,145.586013,145.586013,145.586013,145.586013,1,145.586013
2012-09-11,145.788685,145.788685,145.788685,145.788685,1,145.788685
2012-09-10,145.990014,145.990014,145.990014,145.990014,1,145.990014
2012-09-07,146.189336,146.189336,146.189336,146.189336,1,146.189336
2012-09-06,146.385991,146.385991,146.385991,146.385991,1,146.385991
2012-09-05,146.579331,146.579331,146.579331,146.579331,1,146.579331
2012-09-04,146.768715,146.768715,146.768715,146.768715,1,146.768715
2012-08-31,146.953518,146.953518,146.953518,146.953518,1,146.953518
2012-08-30,147.133128,147.133128,147.133128,147.133128,1,147.133128
2012-08-29,147.306953,147.306953,147.306953,147.306953,1,147.306953
2012-08-28,147.474418,147.474418,147.474418,147.474418,1,147.474418
2012-08-27,147.634968,147.634968,147.634968,147.634968,1,147.634968
2012-08-24,147.788075,147.788075,147.788075,147.788075,1,147.788075
2012-08-23,147.933230,147.933230,147.933230,147.933230,1,147.933230
2012-08-22,148.069956,148.069956,148.069956,148.069956,1,148.069956
2012-08-21,148.197799,148.197799,148.197799,148.197799,1,148.197799
2012-08-20,148.316337,148.316337,148.316337,148.316337,1,148.316337
2012-08-17,148.425179,148.425179,148.425179,148.425179,1,148.425179
2012-08-16,148.523964,148.523964,148.523964,148.523964,1,148.523964
2012-08-15,148.612367,148.612367,148.612367,148.612367,1,148.612367
2012-08-14,148.690094,148.690094,148.690094,148.690094,1,148.690094
2012-08-13,148.756890,148.756890,148.756890,148.756890,1,148.756890
2012-08-10,148.812532,148.812532,148.812532,148.812532,1,148.812532
2012-08-09,148.856838,148.856838,148.856838,148.856838,1,148.856838
2012-08-08,148.889661,148.889661,148.889661,148.889661,1,148.889661
2012-08-07,148.910892,148.910892,148.910892,148.910892,1,148.910892
2012-08-06,148.920462,148.920462,148.920462,148.920462,1,148.920462
2012-08-03,148.918338,148.918338,148.918338,148.918338,1,148.918338
2012-08-02,148.904528,148.904528,148.904528,148.904528,1,148.904528
2012-08-01,148.879077,148.879077,148.879077,148.879077,1,148.879077
2012-07-31,148.842069,148.842069,148.842069,148.842069,1,148.842069
2012-07-30,148.793627,148.793627,148.793627,148.793627,1,148.793627
2012-07-27,148.733911,148.733911,148.733911,148.733911,1,148.733911
2012-07-26,148.663118,148.663118,148.663118,148.663118,1,148.663118
2012-07-25,148.581482,148.581482,148.581482,148.581482,1,148.581482
2012-07-24,148.489273,148.489273,148.489273,148.489273,1,148.489273
2012-07-23,148.386796,148.386796,148.386796,148.386796,1,148.386796
2012-07-20,148.274389,148.274389,148.274389,148.274389,1,148.274389
2012-07-19,148.152425,148.152425,148.152425,148.152425,1,148.152425
2012-07-18,148.021306,148.021306,148.021306,148.021306,1,148.021306
2012-07-17,147.881465,147.881465,147.881465,147.881465,1,147.881465
2012-07-16,147.733365,147.733365,147.733365,147.733365,1,147.733365
2012-07-13,147.577495,147.577495,147.577495,147.577495,1,147.577495
2012-07-12,147.414371,147.414371,147.414371,147.414371,1,147.414371
2012-07-11,147.244531,147.244531,147.244531,147.244531,1,147.244531
2012-07-10,147.068538,147.068538,147.068538,147.068538,1,147.068538
2012-07-09,146.886972,146.886972,146.886972,146.886972,1,146.886972
2012-07-06,146.700434,146.700434,146.700434,146.700434,1,146.700434
2012-07-05,146.509540,146.509540,146.509540,146.509540,1,146.509540
2012-07-03,146.314922,146.314922,146.314922,146.314922,1,146.314922
2012-07-02,146.117222,146.117222,146.117222,146.117222,1,146.117222
2012-06-29,145.917095,145.917095,145.917095,145.917095,1,145.917095
2012-06-28,145.715201,145.715201,145.715201,145.715201,1,145.715201
2012-06-27,145.512208,145.512208,145.512208,145.512208,1,145.512208
2012-06-26,145.308787,145.308787,145.308787,145.308787,1,145.308787
2012-06-25,145.105610,145.105610,145.105610,145.105610,1,145.105610
2012-06-22,144.903348,144.903348,144.903348,144.903348,1,144.903348
2012-06-21,144.702671,144.702671,144.702671,144.702671,1,144.702671
2012-06-20,144.504242,144.504242,144.504242,144.504242,1,144.504242
2012-06-19,144.308716,144.308716,144.308716,144.308716,1,144.308716
2012-06-18,144.116740,144.116740,144.116740,144.116740,1,144.116740
2012-06-15,143.928948,143.928948,143.928948,143.928948,1,143.928948
2012-06-14,143.745961,143.745961,143.745961,143.745961,1,143.745961
2012-06-13,143.568384,143.568384,143.568384,143.568384,1,143.568384
2012-06-12,143.396804,143.396804,143.396804,143.396804,1,143.396804
2012-06-11,143.231787,143.231787,143.231787,143.231787,1,143.231787
2012-06-08,143.073880,143.073880,143.073880,143.073880,1,143.073880
2012-06-07,142.923604,142.923604,142.923604,142.923604,1,142.923604
2012-06-06,142.781456,142.781456,142.781456,142.781456,1,142.781456
2012-06-05,142.647905,142.647905,142.647905,142.647905,1,142.647905
2012-06-04,142.523394,142.523394,142.523394,142.523394,1,142.523394
2012-06-01,142.408333,142.408333,142.408333,142.408333,1,142.408333
2012-05-31,142.303104,142.303104,142.303104,142.303104,1,142.303104
2012-05-30,142.208053,142.208053,142.208053,142.208053,1,142.208053
2012-05-29,142.123496,142.123496,142.123496,142.123496,1,142.123496
2012-05-25,142.049711,142.049711,142.049711,142.049711,1,142.049711
2012-05-24,141.986942,141.986942,141.986942,141.986942,1,141.986942
2012-05-23,141.935397,141.935397,141.935397,141.935397,1,141.935397
2012-05-22,141.895247,141.895247,141.895247,141.895247,1,141.895247
2012-05-21,141.866623,141.866623,141.866623,141.866623,1,141.866623
2012-05-18,141.849621,141.849621,141.849621,141.849621,1,141.849621
2012-05-17,141.844296,141.844296,141.844296,141.844296,1,141.844296
2012-05-16,141.850667,141.850667,141.850667,141.850667,1,141.850667
2012-05-15,141.868712,141.868712,141.868712,141.868712,1,141.868712
2012-05-14,141.898372,141.898372,141.898372,141.898372,1,141.898372
2012-05-11,141.939549,141.939549,141.939549,141.939549,1,141.939549
2012-05-10,141.992106,141.992106,141.992106,141.992106,1,141.992106
2012-05-09,142.055869,142.055869,142.055869,142.055869,1,142.055869
2012-05-08,142.130629,142.130629,142.130629,142.130629,1,142.130629
2012-05-07,142.216138,142.216138,142.216138,142.216138,1,142.216138
2012-05-04,142.312113,142.312113,142.312113,142.312113,1,142.312113
2012-05-03,142.418237,142.418237,142.418237,142.418237,1,142.418237
2012-05-02,142.534159,142.534159,142.534159,142.534159,1,142.534159
2012-05-01,142.659497,142.659497,142.659497,142.659497,1,142.659497
2012-04-30,142.793835,142.793835,142.793835,142.793835,1,142.793835
2012-04-27,142.936730,142.936730,142.936730,142.936730,1,142.936730
2012-04-26,143.087710,143.087710,143.087710,143.087710,1,143.087710
2012-04-25,143.246275,143.246275,143.246275,143.246275,1,143.246275
2012-04-24,143.411902,143.411902,143.411902,143.411902,1,143.411902
2012-04-23,143.584042,143.584042,143.584042,143.584042,1,143.584042
2012-04-20,143.762128,143.762128,143.762128,143.762128,1,143.762128
2012-04-19,143.945570,143.945570,143.945570,143.945570,1,143.945570
2012-04-18,144.133762,144.133762,144.133762,144.133762,1,144.133762
2012-04-17,144.326082,144.326082,144.326082,144.326082,1,144.326082
2012-04-16,144.521894,144.521894,144.521894,144.521894,1,144.521894
2012-04-13,144.720551,144.720551,144.720551,144.720551,1,144.720551
2012-04-12,144.921397,144.921397,144.921397,144.921397,1,144.921397
2012-04-11,145.123767,145.123767,145.123767,145.123767,1,145.123767
2012-04-10,145.326994,145.326994,145.326994,145.326994,1,145.326994
2012-04-09,145.530404,145.530404,145.530404,145.530404,1,145.530404
2012-04-05,145.733326,145.733326,145.733326,145.733326,1,145.733326
2012-04-04,145.935089,145.935089,145.935089,145.935089,1,145.935089
2012-04-03,146.135026,146.135026,146.135026,146.135026,1,146.135026
2012-04-02,146.332476,146.332476,146.332476,146.332476,1,146.332476
2012-03-30,146.526787,146.526787,146.526787,146.526787,1,146.526787
2012-03-29,146.717316,146.717316,146.717316,146.717316,1,146.717316
2012-03-28,146.903434,146.903434,146.903434,146.903434,1,146.903434
2012-03-27,147.084526,147.084526,147.084526,147.084526,1,147.084526
2012-03-26,147.259992,147.259992,147.259992,147.259992,1,147.259992
2012-03-23,147.429253,147.429253,147.429253,147.429253,1,147.429253
2012-03-22,147.591749,147.591749,147.591749,147.591749,1,147.591749
2012-03-21,147.746944,147.746944,147.746944,147.746944,1,147.746944
2012-03-20,147.894325,147.894325,147.894325,147.894325,1,147.894325
2012-03-19,148.033403,148.033403,148.033403,148.033403,1,148.033403
2012-03-16,148.163720,148.163720,148.163720,148.163720,1,148.163720
2012-03-15,148.284845,148.284845,148.284845,148.284845,1,148.284845
2012-03-14,148.396378,148.396378,148.396378,148.396378,1,148.396378
2012-03-13,148.497949,148.497949,148.497949,148.497949,1,148.497949
2012-03-12,148.589224,148.589224,148.589224,148.589224,1,148.589224
2012-03-09,148.669899,148.669899,148.669899,148.669899,1,148.669899
2012-03-08,148.739710,148.739710,148.739710,148.739710,1,148.739710
2012-03-07,148.798425,148.798425,148.798425,148.798425,1,148.798425
2012-03-06,148.845849,148.845849,148.845849,148.845849,1,148.845849
